1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,18419,3,1,1,0,1,2,1,9945.5,0
1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,3,2,0,1,1,1,0,0,0,0,0,0,0,4,74,20408,4,0,1,0,0,1,0.670886076,3155,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,3,2,0,1,0,1,0,0,0,0,0,0,0,4,28,32108,4,0,1,0,0,1,0.939393939,9651,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,4,3,0,2,0,2,0,0,1,0,0,0,0,4,28,12916,4,0,1,0,0,1,0.645833333,3223,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,3,33,33444,3,0,1,0,0,1,0.636363636,6967,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,0,1,0,2,0,0,1,0,0,0,0,4,19,128,4,0,1,0,0,1,0.954545455,61,0
0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,21683,3,1,1,0,1,2,1,11823.25,0
0,1,0,0,0,0,0,0,0,0,2,1,2,1,2,0,0,1,1,0,0,1,1,1,3,3,0,2,2,0,2,0,0,1,0,0,1,4,23,2088,4,1,1,0,1,2,1,1110,0
0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,3,2,0,1,1,1,0,0,0,0,0,0,0,4,69,7264,4,0,1,0,0,1,0.730769231,1653,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,3,2,0,1,0,1,0,0,0,0,0,0,0,4,27,51316,4,0,1,0,0,1,0.935483871,11637,0
0,1,0,0,0,0,0,0,0,0,3,0,2,1,3,0,0,1,1,0,1,1,1,2,2,3,0,2,2,1,2,0,0,0,0,0,2,4,25,1575,4,2,1,0,0,1,1,1176,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,4,3,0,2,0,2,0,0,1,0,0,0,0,4,24,2056,4,0,1,0,0,1,0.481481481,1589,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,3,30,27476,3,0,1,0,0,1,0.459016393,5199,0
1,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,19417,3,1,2,0,1,2,1,8684.75,0
2,1,0,0,1,0,0,0,1,0,2,0,1,1,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,13972,3,0,5,0,0,1,1,6025,0
1,2,0,0,0,0,0,1,1,0,1,1,3,1,0,0,0,0,1,0,1,1,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,3,1,1,3,0,5,0,0,1,1,0,0
1,3,0,1,1,0,1,0,0,1,0,0,3,3,2,0,1,1,1,0,2,1,0,2,1,0,0,0,4,2,0,0,0,0,0,0,1,4,29,29119,4,1,8,0,0,1,1,0,0
0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,19018,3,1,2,0,1,2,1,10948.25,0
1,2,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,0,0,1,1,1,2,0,0,0,0,2,0,0,0,0,1,0,1,2,2,1399,2,1,3,0,0,1,1,347,0
0,5,1,3,2,0,1,0,0,0,0,0,4,3,3,0,2,1,3,0,0,0,1,2,1,1,1,0,1,3,1,1,0,0,0,0,2,5,1,32,5,2,12,0,0,1,1,0,0
0,1,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,18516,3,1,2,0,1,2,1,9789,0
0,1,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,20039,3,1,2,0,1,2,1,8470.75,0
0,1,0,2,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2744,1,0,4,0,0,1,1,0,1
0,1,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,18256,3,1,2,0,1,2,1,10481.5,0
0,1,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,19442,3,1,2,0,1,2,1,10111.75,0
0,1,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,20319,3,1,2,0,1,2,1,9865.5,0
0,1,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,19961,3,1,2,0,1,2,1,8781.5,0
0,1,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,2,3,0,2,1,0,2,0,0,0,0,0,1,3,26,19348,3,1,2,0,1,2,1,10898.25,0
